priority_batch_sequence,profile_key,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
19,google:cid:9088123712092137469,exclude_non_dentist_category,"The exact Northwell center is a pediatric craniofacial and ear-deformity medical service; it is not presented as a patient dental clinic.",https://pediatrics.northwell.edu/departments-services/center-for-hemifacial-microsomia-ear-deformities,OpenAI official-site audit,2026-09-25
20,google:cid:18324274402083215110,include_dental_provider,"The exact Apicha Jackson Heights clinic page lists dental hours and patient dental services at 82-11 37th Avenue.",https://www.apicha.org/locations/jackson-heights-clinic/,OpenAI official-site audit,2026-09-25
21,google:cid:4889158453415494831,include_dental_provider,"One Brooklyn Health's exact New Lots page lists adult and pediatric dental services at 465 New Lots Avenue.",https://onebrooklynhealth.org/services/bfcc-new-lots,OpenAI official-site audit,2026-09-25
22,google:cid:3675758136041550130,include_dental_provider,"The exact Downtown Brooklyn location page lists dentistry and patient dental appointments at 200 Livingston Street.",https://www.centurymedicaldental.com/downtown-brooklyn-ny-11201/,OpenAI official-site audit,2026-09-25
23,google:cid:14802067086695398071,include_dental_provider,"Children's Aid lists dental services and dental hours at the exact Dunlevy Milbank address.",https://www.childrensaidnyc.org/programs/location/dunlevy-milbank-community-center,OpenAI official-site audit,2026-09-25
24,google:cid:7797290965946195780,exclude_non_dentist_category,"The exact CHN Lower East Side page lists its available services and does not include dental care.",https://www.chnnyc.org/center/chn-lower-east-side/,OpenAI official-site audit,2026-09-25
25,google:cid:12688400926869408311,include_dental_provider,"Columbia's dentistry location directory and dentist profiles identify patient dentistry at 51 West 51st Street.",https://www.columbiadoctors.org/specialties/dentistry/our-locations,OpenAI official-site audit,2026-09-25
26,google:cid:14534325133775607876,include_dental_provider,"Sun River's exact Staten Island location lists dentistry among services at 57 Bay Street.",https://www.sunriver.org/your-health/sun-river-health-staten-island/,OpenAI official-site audit,2026-09-25
27,google:cid:6683947002764799178,exclude_non_dentist_category,"The exact Head and Neck Surgical Group is an otolaryngology practice; the record does not establish patient dental care.",https://www.superdoctors.com/new-york-metro/hospital-clinic/Head-and-Neck-Surgical-Group/c8bd9019-fa74-4f4c-985a-8a1ec915098f.html,OpenAI official-site audit,2026-09-25
28,google:cid:15896470951924789074,include_dental_provider,"YAI's official Manhattan service guide lists dentistry at Premier HealthCare's 227 East 41st Street clinic.",https://www.yai.org/sites/default/files/documents/yai_manhattanservices_d29.pdf,OpenAI official-site audit,2026-09-25
29,google:cid:3964837681164051013,exclude_non_dentist_category,"This profile represents the general University of the Pacific San Francisco campus rather than a separate patient dental provider; the co-located Dugoni dental profile is retained separately.",https://www.pacific.edu/san-francisco-campus,OpenAI official-site audit,2026-09-25
30,google:cid:11713460053424059316,include_dental_provider,"The exact Tom Waddell clinic address appears in the San Francisco provider directory with on-site DDS providers.",https://www.sf.gov/sites/default/files/2023-12/Healthy-Workers-HMO-Provider-Directory.pdf,OpenAI official-site audit,2026-09-25
31,google:cid:4203807645744766748,include_dental_provider,"UCSF's provider page identifies Richard Jordan DDS as a patient-facing oral and maxillofacial pathologist and dentist at the profile location.",https://www.ucsfhealth.org/providers/dr-richard-c-jordan,OpenAI official-site audit,2026-09-25
32,google:cid:13320476754117954318,include_dental_provider,"The exact Stephens County page lists scheduled dental care for patients up to age 19 at 64 Boulevard.",https://phdistrict2.org/stephens-county-health-department/,OpenAI official-site audit,2026-09-25
33,google:cid:4908311652064968016,exclude_non_dentist_category,"Current VA pages place Augusta dental services at the Uptown campus; the 950 15th Street Downtown profile does not establish dental care.",https://www.va.gov/augusta-health-care/locations/,OpenAI official-site audit,2026-09-25
34,google:cid:2699669743953774124,exclude_non_dentist_category,"The exact St. John's Leavey OB clinic is a family-planning and obstetric clinic; St. John's dental clinics are listed at other locations.",https://sjch.org/find-a-clinic/,OpenAI official-site audit,2026-09-25
35,google:cid:17012823065007518935,exclude_non_dentist_category,"The saved exact-location evidence is a family medical clinic and does not establish patient-facing dental services at 604 Rose Avenue.",http://tccliniic.com/family-clinic/venice-family-clinic-locations-hrs-directions.html,OpenAI official-site audit,2026-09-25
36,google:cid:2483200121336417676,exclude_non_dentist_category,"The exact official page is for a pediatric autism and developmental medical center, not a dental provider.",http://childrenshospitalnh.org/services-centers/autism-developmental-center/,OpenAI official-site audit,2026-09-25
37,google:cid:3018543719665768431,include_dental_provider,"NYU College of Dentistry's urgent-care page confirms patient dental urgent care at 345 East 24th Street.",https://dental.nyu.edu/patientcare/emergency-services-urgent-care.html,OpenAI official-site audit,2026-09-25
38,google:cid:7749441387408078850,include_dental_provider,"The exact NYU Langone Seventh Avenue page lists dentistry and dental hours at 5008 Seventh Avenue.",https://nyulangone.org/locations/seventh-avenue-family-health-center-at-nyu-langone,OpenAI official-site audit,2026-09-25
39,google:cid:12561385290095799208,include_dental_provider,"The official dental-practice site confirms patient dental services and the exact 543A Hempstead Turnpike address.",https://www.csdentalny.com/,OpenAI official-site audit,2026-09-25
