market,profile_key,title,address,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on
Augusta_GA_L,google:cid:16620118602434899245,Centro Médico,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Centro Médico is the shared center/building label rather than a distinct patient dental provider profile; dental activity at the address belongs to separately named programs.,https://www.alas-csra.org/,official_and_authoritative_web_audit,2026-09-24
Augusta_GA_L,google:cid:1155020191173974679,Charlie Norwood VA Medical Center - Downtown Division,"950 15th St, Augusta, GA 30901",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.augusta.va.gov/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:3372177001440411258,Charlie Norwood VA Medical Center - Uptown Division,"1 Freedom Way, Augusta, GA 30904",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.augusta.va.gov/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:10189885467258094965,Christ Community Health Medical District,"1226 D'Antignac St, Augusta, GA 30901",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.cchsaugusta.org/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:371877985928288149,Christ Community Health Olde Town,"127 Telfair St, Augusta, GA 30901",include_dental_provider,Official health-center site matches the Olde Town address and documents dental care within the organization.,https://www.cchsaugusta.org/about/,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:1016625347654546775,Clínica Latina,"904 Merry St, Augusta, GA 30904",exclude_non_dentist_category,Official Clínica Latina page matches the address and lists primary medical services rather than patient dental care.,https://www.alas-csra.org/clinica-latina-1,official_and_authoritative_web_audit,2026-09-24
Augusta_GA_L,google:cid:11022410293483888400,DDEAMC Dental Clinic,"Augusta, GA 30905",include_dental_provider,Official Eisenhower Army Medical Center page documents a patient-serving hospital dental clinic in Fort Eisenhower/Augusta.,https://eisenhower.tricare.mil/Health-Services/Dental/Hospital-Dental-Clinic,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:6212271873494307269,Dental College of Georgia,"1430 John Wesley Gilbert Drive, Augusta, GA 30912",include_dental_provider,Official site confirms patient appointments and dental clinics at the exact address.,https://web2.augusta.edu/dentalmedicine/about-us/contactus.php,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:6696260283652765943,Georgia Dental Clinic,"1120 15th St, Augusta, GA 30912",include_dental_provider,Official Dental College of Georgia pages document patient dental clinics and appointments at 1120 15th Street.,https://www.augusta.edu/dentalmedicine/academics/departments/general/index.php,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:9390339446321822061,Medical Associates Plus,"2467 Golden Camp Rd, Augusta, GA 30906",include_dental_provider,Official location page matches the address and explicitly lists dental care and appointment access.,https://mapbt.com/locations/belle-terrace.html,official_site_audit,2026-09-24
Augusta_GA_L,google:cid:8940347495298251894,Medical Associates Plus - Walton Way,"2050 Walton Wy, Augusta, GA 30904",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://mapbt.com/,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:15921830244754786624,Oral & Maxillofacial Surgery,"1430 John Wesley Gilbert Drive, Augusta, GA 30912",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://www.google.com/maps?cid=15921830244754786624,focused_title_evidence_audit,2026-09-24
Augusta_GA_L,google:cid:14457415903984627262,Richmond County Health Department,"950 Laney Walker Blvd, Augusta, GA 30901",exclude_non_dentist_category,The exact Richmond County health-department page describes preventive public-health services at 950 Laney Walker and does not list dental care.,https://ada.ecphd.com/counties/richmond,OpenAI official-site audit,2026-09-25
Augusta_GA_L,google:cid:12137716057317078040,Top Dentists LLC,"961 Broad St, Augusta, GA 30901",exclude_non_dentist_category,Dentist ranking and market-research organization rather than a patient-facing practice.,https://www.usatopdentists.com/,category_identity_audit,2026-09-24
Augusta_GA_L,google:cid:4908311652064968016,VA Downtown Division,"950 15th St, Augusta, GA 30901",exclude_non_dentist_category,Current VA pages place Augusta dental services at the Uptown campus; the 950 15th Street Downtown profile does not establish dental care.,https://www.va.gov/augusta-health-care/locations/,OpenAI official-site audit,2026-09-25
Buffalo_NY_L,google:cid:15534335769424063628,ABEL Dental Software Inc,"50 Fountain Plz #1400, Buffalo, NY 14202",exclude_non_dentist_category,Dental software company rather than a patient-facing practice.,https://www.abeldent.com/,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:15287270071867544428,"Apex Dental Solutions, LLC","8600 Sheridan Dr, Williamsville, NY 14221",exclude_non_dentist_category,Dental marketing agency rather than a patient-facing practice.,https://www.apexdentalsolutions.com/,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:14404418594459482430,Buffalo Denture Care Services,"1389 Bailey Ave, Buffalo, NY 14206",include_dental_provider,Current Google-profile-derived evidence identifies a denture and dental-implant provider at the exact address.,https://stormrage.nyc/local-seo-audit/buffalo-denture-care-services-buffalo-new-york/,profile_evidence_audit,2026-09-24
Buffalo_NY_L,google:cid:12682816046732294410,"Community Health Center of Buffalo, Inc.","34 Benwood Ave, Buffalo, NY 14214",include_dental_provider,Official location page matches the address and lists dental care among patient services.,https://chcb.net/locations/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:9379723610265778813,ECMC Center for Dental Care - Buffalo General Medical Center,"100 High St, Buffalo, NY 14203",exclude_non_dentist_category,Current ECMC dental locations are 462 Grider Street and 800 Hertel Avenue; the saved profile address at 100 High Street is not a current dental location.,https://www.ecmc.edu/health-services-and-doctors/outpatient-specialty-clinics/dental-clinic/,OpenAI official-site audit,2026-09-25
Buffalo_NY_L,google:cid:4708478448088972298,Ellicott Street Animal Hospital,"517 Ellicott St, Buffalo, NY 14203",exclude_non_dentist_category,Animal hospital rather than a human dental provider.,https://www.ellicottvets.com/,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:5257324846144316958,Evergreen Health,"206 S Elmwood Ave, Buffalo, NY 14201",include_dental_provider,Official Evergreen Specialty Care location evidence matches 206 S Elmwood and lists dental care.,https://www.evergreenhs.org/,official_and_authoritative_web_audit,2026-09-24
Buffalo_NY_L,google:cid:15855541177964720473,Evergreen Health,"800 Hertel Ave Ste 100, Buffalo, NY 14207",include_dental_provider,Official Evergreen evidence documents the dental practice at 800 Hertel Avenue.,https://www.evergreenhs.org/,official_and_authoritative_web_audit,2026-09-24
Buffalo_NY_L,google:cid:2431502444806696710,Good Neighbors Health Care,"175 Jefferson Ave, Buffalo, NY 14210",include_dental_provider,Harvest House's exact location page identifies Good Neighbors Medical and Dental at 175 Jefferson Avenue and describes patient dental care.,https://www.harvesthousebuffalo.org/gnhc,OpenAI official-site audit,2026-09-25
Buffalo_NY_L,google:cid:14218551985995785227,Humiston Bridget,"3615 Seneca St # N, West Seneca, NY 14224",include_dental_provider,Exact-address dental directory evidence identifies Bridget Humiston as a dental provider accepting new patients.,https://www.denteldoc.com/location/?id=99345,targeted_profile_evidence_audit,2026-09-24
Buffalo_NY_L,google:cid:7188245865820882796,"Ivoclar Vivadent, Inc.","175 Pineview Dr, Buffalo, NY 14228",exclude_non_dentist_category,Dental-products manufacturer rather than a patient-facing practice.,https://www.ivoclar.com/en_us,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:14624434527722302725,Lighthouse Free Medical Clinic,"34 Benwood Ave, Buffalo, NY 14214",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.lighthousefreemedicalclinic.com/,focused_title_evidence_audit,2026-09-24
Buffalo_NY_L,google:cid:355931956425941180,McClelland Small Animal Hospital,"455 Ellicott St, Buffalo, NY 14203",exclude_non_dentist_category,Animal hospital rather than a human dental provider.,https://mcclellandsah.com/,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:14999402761544567565,Molina Healthcare of New York - Buffalo Enrollment Office,"446 Main St, Buffalo, NY 14202",exclude_non_dentist_category,Insurance enrollment office rather than a patient-facing dental provider.,https://www.molinahealthcare.com/members/ny/en-US/pages/home.aspx,category_identity_audit,2026-09-24
Buffalo_NY_L,google:cid:15388569378089531316,Neighborhood Health Center,"155 Lawn Ave, Buffalo, NY 14207",include_dental_provider,Official Neighborhood Health Center Northwest page matches 155 Lawn Ave and lists Dental Department hours and Dentistry as a service.,https://nhcwny.org/locations-and-hours/location:northwest/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:8053481685675095661,Neighborhood Health Center,"Neighborhood Health Center - Mattina, 300 Niagara St, Buffalo, NY 14201",include_dental_provider,Official Neighborhood Health Center Mattina page matches the location and lists Dental Department hours and Dentistry as a service.,https://nhcwny.org/locations-and-hours/location:mattina/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:11877499768464405465,Neighborhood Health Center,"Neighborhood Health Center, 1569 Niagara St, Riverway, Buffalo, NY 14213",include_dental_provider,Official Neighborhood Health Center Riverway page matches the location and lists Dental Department hours and Dentistry as a service.,https://nhcwny.org/locations-and-hours/location:riverway/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:2962843530212566674,Neighborhood Health Center,"Neighborhood Health Center, 4233 Lake Ave, Blasdell, NY 14219",include_dental_provider,Official Neighborhood Health Center Blasdell page matches the location and lists Dental Department hours and Dentistry as a service.,https://nhcwny.org/locations-and-hours/location:blasdell/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:7387759025015642405,Oishei Healthy Kids,"1100 Main St, Buffalo, NY 14209",exclude_non_dentist_category,"Oishei Healthy Kids at 1100 Main Street is a children's health-home and case-management program, not a dental provider.",https://www.ochbuffalo.org/care-treatment/Oishei-Healthy-Kids-Health-Home,OpenAI official-site audit,2026-09-25
Buffalo_NY_L,google:cid:15791159538290549542,Pediatric Dental – Golisano Children’s Buffalo Outpatient Center (Conventus),"1001 Main St, Buffalo, NY 14203",include_dental_provider,The Golisano outpatient center at 1001 Main Street lists Pediatric Dental as a patient-facing outpatient service.,https://www.ochbuffalo.org/visitors/outpatient-center/,OpenAI official-site audit,2026-09-25
Buffalo_NY_L,google:cid:17653108616219652760,State University of New York at Buffalo School of Dental Medicine,"320 Hayes Rd, Buffalo, NY 14215",include_dental_provider,The exact 320 Hayes Road profile is the UB Orthodontic Clinic with patient-facing clinic hours and contact information.,https://dental.buffalo.edu/departments/orthodontics.html,targeted_profile_evidence_audit,2026-09-24
Buffalo_NY_L,google:cid:11295921837023317046,Suburban Oral & Maxillofacial Surgery Associates PC,"6490 Main St #3, Williamsville, NY 14221",include_dental_provider,"Official practice site matches the address and lists oral surgery, extractions, and dental implants.",https://www.somsa.com/,official_site_audit,2026-09-24
Buffalo_NY_L,google:cid:17742445320798036369,UB Dental Clinic,"State University at Buffalo South Campus, 3435 Main St, Buffalo, NY 14214",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://dental.buffalo.edu/patients/general-information.html,focused_title_evidence_audit,2026-09-24
Buffalo_NY_L,google:cid:1234717031910883396,UB School of Dental Medicine / UB Dental,"State University at Buffalo South Campus, 3435 Main St, Buffalo, NY 14215",include_dental_provider,Official UB Dental page documents patient appointments and multiple dental clinics at the South Campus location.,https://dental.buffalo.edu/patients/contact-information.html,official_site_audit,2026-09-24
Eureka_CA_S,google:cid:17288488438933510604,Broadway Animal Hospital,"3700 Broadway St, Eureka, CA 95503",exclude_non_dentist_category,Animal hospital rather than a human dental provider.,http://broadwayanimal.org/,category_identity_audit,2026-09-24
Eureka_CA_S,google:cid:14667082976660505393,Eureka VA Clinic,"930 W Harris St, Eureka, CA 95501",exclude_non_dentist_category,The exact VA clinic service list includes primary care and several specialties but no patient-facing dental service.,https://www.va.gov/san-francisco-health-care/locations/eureka-va-clinic/,OpenAI official-site audit,2026-09-25
Eureka_CA_S,google:cid:11050925436210414761,Healing Spirit Animal Wellness Center,"7650 Myrtle Avenue, Eureka, CA 95503",exclude_non_dentist_category,Animal hospital rather than a human dental provider.,https://healingspiritvet.com/,category_identity_audit,2026-09-24
Eureka_CA_S,google:cid:13691425450444065534,Humboldt Spay/Neuter Clinic,"2606 Myrtle Avenue, Eureka, CA 95501",exclude_non_dentist_category,Veterinary clinic rather than a human dental provider.,http://spayhumboldt.org/,category_identity_audit,2026-09-24
Eureka_CA_S,google:cid:15234039165892868140,Myrtle Avenue Veterinary Hospital,"2390 Myrtle Avenue, Eureka, CA 95501",exclude_non_dentist_category,Veterinary hospital rather than a human dental provider.,http://www.myrtleavenuevet.com/,category_identity_audit,2026-09-24
Eureka_CA_S,google:cid:2468268097554676926,Open Door Member Services Department,"1522 3rd St, Eureka, CA 95501",exclude_non_dentist_category,"This exact profile is the administrative Member Services Department, not a patient dental practice; Open Door lists Burre Dental Center separately.",https://resourcehub.nchiin.org/,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:6184430223637556722,Providence Medical Group Eureka - Pediatrics,"2200 Harrison Ave Ste D, Eureka, CA 95501",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.providence.org/locations/norcal/eureka-pediatrics?ls=location&y_source=1_MjM2OTQ3NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,focused_title_evidence_audit,2026-09-24
Eureka_CA_S,google:cid:6832263757888478173,Redwood Community Health Center,"2350 Buhne St, Eureka, CA 95501",exclude_non_dentist_category,Location evidence identifies family medicine and pregnancy services at this exact site; Open Door lists Burre Dental Center separately for dental care.,https://www.northcoastclinics.org/clinics/,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:3539046292069828800,Telehealth & Visiting Specialist Center,"2426 Buhne St, Eureka, CA 95501",exclude_non_dentist_category,"HRSA and regional evidence describe primary, specialty, behavioral, telehealth and mobile services at this exact site, while dental is provided at a separately named Burre Dental Center.",https://programportal.hrsa.gov/site-poc-api/public/employer-site-profiles/4A74F35E-A142-473E-8AC8-27241E3691BC/brochures/30393030-3335-6464-3830-373531616261/content,official_and_authoritative_web_audit,2026-09-24
Eureka_CA_S,google:cid:16871342606453395942,Wolven Richard F DDS,"2750 Harrison Ave, Eureka, CA 95501",include_dental_provider,Dental-society evidence matches Richard Wolven DDS at 2750 Harrison Ave and identifies general practice.,https://www.redwoodsmiles.com/,focused_title_evidence_audit,2026-09-24
Eureka_CA_S,google:cid:5159432709182396681,Wonenberg Brett DDS,"1519 2nd St, Eureka, CA 95501",include_dental_provider,Exact-address provider evidence identifies Brett Wonenberg DDS as a patient-facing dentist.,https://www.healthgrades.com/dentist/dr-brett-wonenberg-xynjj,focused_title_evidence_audit,2026-09-24
FortBragg_CA_S,google:cid:5493462293064925102,Adventist Health Mendocino Coast,"700 River Dr, Fort Bragg, CA 95437",exclude_non_dentist_category,The exact address is Adventist Health Mendocino Coast hospital; current official facility evidence does not identify an on-site dental clinic.,https://www.adventisthealth.org/mendocino-coast/,OpenAI official-site audit,2026-09-25
FortBragg_CA_S,google:cid:7617865913220209419,Medical Office: Adventist Health Mendocino Coast,"721 River Dr Suites A, B, and C, Fort Bragg, CA 95437",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.adventisthealth.org/locations/adventist-health-mendocino-coast-medical-office/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:3321000754837293903,AHF - Downtown Dental Office,"1414 S Grand Ave, Los Angeles, CA 90015",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://www.hivcare.org/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:14633199612108196228,"APLA Health Center, CDU/MLK Medical Campus","1679 E 120th St, Los Angeles, CA 90059",include_dental_provider,Official location page matches 1679 E 120th St and lists Dental Care and a DDS provider.,https://aplahealth.org/locations/apla-health-center-cdu-mlk-medical-campus/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:14523467718029744471,"APLA Health Center, Long Beach","1043 Elm Ave #302, Long Beach, CA 90813",include_dental_provider,Official APLA location page matches this exact address and explicitly lists patient dental care.,https://aplahealth.org/locations/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:14508613773664398805,"APLA Health, Gleicher/Chen Health Center, Baldwin Hills","3743 S La Brea Ave, Los Angeles, CA 90016",include_dental_provider,Official APLA location page matches this exact address and explicitly lists patient dental care.,https://aplahealth.org/locations/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:6765652841990826441,Altadena Dental Center,"2036 Lincoln Ave, Pasadena, CA 91103",include_dental_provider,Exact-address provider evidence identifies Altadena Dental Center as a general dentistry office accepting new patients.,https://www.dentalplans.com/dentists/california/pasadena/91103/dr-mher-grigoryan-23619/,targeted_profile_evidence_audit,2026-09-24
LA_CA_L,google:cid:10073033236181205716,"Ardeshir Soroushyari, M.D.","5411 Etiwanda Ave #200, Tarzana, CA 91356",exclude_non_dentist_category,"The official provider record identifies Ardeshir Soroushyari as a medical physician, not a dentist or dental clinic.",https://www.cedars-sinai.org/provider/ardeshir-soroushyari-2644702.html,OpenAI official-site audit,2026-09-25
LA_CA_L,google:cid:10671460001844304829,Artur Arkelakyan,"905 S Lake St STE 102, Burbank, CA 91502",include_dental_provider,The current official provider page identifies Artur Arkelakyan as a DDS providing dental care at 905 S Lake Street Suite 102.,https://coastlanddental.com/about-us/dr-artur-arkelakyan/,OpenAI official-site audit,2026-09-25
LA_CA_L,google:cid:16918411909149780023,Atalla Medical Group,"557 N Maclay Ave, San Fernando, CA 91340",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://atallamedicalgroup.com/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:10802983423779816217,Burbank Oral & Maxillofacial Surgery,"239 W Olive Ave, Burbank, CA 91502",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,http://www.burbankoralsurgery.com/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:15622115557296894033,CARE Center at Dignity Health - St. Mary Medical Center,"1040 Elm Ave #200, Long Beach, CA 90813",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://locations.dignityhealth.org/care-center-st-mary-medical-center-long-beach,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:4735854279145758248,"Center for Community Health - JWCH Institute, Inc. Medical Clinic","522 San Pedro St, Los Angeles, CA 90013",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,http://www.jwchinstitute.org/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:12275302527016684401,Center for Family Health and Education - Family Medicine/Pediatrics,"8727 Van Nuys Blvd 101 #102, Panorama City, CA 91402",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.cffhae.org/find-a-location/panorama-city/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:7778619330488409355,Clinicas Newbury Park Health Center,"1000 Newbury Rd Ste 150, Newbury Park, CA 91320",include_dental_provider,The exact Clinicas Newbury Park location page lists dental care at 1000 Newbury Road Suite 150.,https://www.clinicas.org/content/newbury-park,OpenAI official-site audit,2026-09-25
LA_CA_L,google:cid:15759839424443607988,Dental Diagnostic Imaging Center,"16661 Ventura Blvd Ste 508, Encino, CA 91436",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://laimaging.com/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:9897196552596211841,"Dental Office App, powered by Dentulu","2002 S Hoover St, Los Angeles, CA 90007",exclude_non_dentist_category,The exact profile is a dental-office software app/developer listing rather than a patient-facing physical dental practice.,https://play.google.com/store/apps/details?id=com.dentulu.OfficeSmile,official_site_audit,2026-09-24
LA_CA_L,google:cid:14042312314831859793,"Dog and Cat Dentist, Inc.","20051 Ventura Blvd, Woodland Hills, CA 91364",exclude_non_dentist_category,Veterinary dentist rather than a human dental provider.,http://www.dogandcatdentist.com/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:1140174246573374673,"Dog and Cat Dentist, Inc.","9599 Jefferson Blvd, Culver City, CA 90232",exclude_non_dentist_category,Veterinary dentist rather than a human dental provider.,http://www.dogandcatdentist.com/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:10072456300286438869,"Dunkel Dental Services & Equipment Sales, Inc.","24612 Pine St, Santa Clarita, CA 91321",exclude_non_dentist_category,Dental equipment supplier rather than a patient-facing practice.,http://www.dunkeldentalserviceca.com/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:1498220725156722538,Eisner Health - Downtown Los Angeles,"1530 S Olive St, Los Angeles, CA 90015",include_dental_provider,Official Eisner dental service evidence lists this exact clinic location for patient dental care.,https://www.eisnerhealth.org/services/dental/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:17835189435584102604,Eisner Health - Lynwood,"3680 E Imperial Hwy #200, Lynwood, CA 90262",include_dental_provider,Official Eisner dental service evidence lists this exact clinic location for patient dental care.,https://www.eisnerhealth.org/services/dental/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:17016569287748856828,Eisner Health - Sherman Oaks,"Dental Clinic Suite LL, 15477 Ventura Blvd #300, Sherman Oaks, CA 91403",include_dental_provider,Official Eisner dental service evidence lists this exact clinic location for patient dental care.,https://www.eisnerhealth.org/services/dental/,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:7991746826427417830,"Erin Lobo Marwah, DDS","23456 Hawthorne Blvd #210, Torrance, CA 90505",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://www.bluecoastdental.com/dentures.html,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:18146438528046903489,Flintridge Office Oral Surgery & Implant Center,"1370 Foothill Blvd #200, La Cañada Flintridge, CA 91011",include_dental_provider,Official oral-surgery site matches the exact suite and offers patient consultations and dental procedures.,https://www.huntingtonsurgical.com/,official_site_audit,2026-09-24
LA_CA_L,google:cid:15046459923282137820,Global Academy of Oral Implantology,"9100 Wilshire Blvd W710, Beverly Hills, CA 90212",exclude_non_dentist_category,Implant education organization rather than a patient-facing practice.,https://implantedu.org/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:16458988322556177375,Global Dental Assistant Program.,"7136 Haskell Ave #217, Van Nuys, CA 91406",exclude_non_dentist_category,Dental-assistant training program rather than a patient-facing practice.,http://globaldentalassisting.com/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:13469792447363300883,Global Dental Implant Academy,"11095 Knott Ave Suite ABC, Cypress, CA 90630",exclude_non_dentist_category,Implant training academy rather than a patient-facing dental provider.,http://gdia.com/,category_identity_audit,2026-09-24
LA_CA_L,google:cid:5575033927774697783,Golden Care Dentistry,"6330 Van Nuys Blvd b, Van Nuys, CA 91401",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,http://www.goldencaredentistry.com/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:13003487266611939149,Hispano American Medical Clinic,"6915 Reseda Blvd #1, Reseda, CA 91335",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.google.com/maps?cid=13003487266611939149,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:11366871718438330174,Jwch Clinic,"954 N Vermont Ave, Los Angeles, CA 90029",include_dental_provider,The exact 954 N Vermont location has a recurring patient mobile dental clinic in addition to Wesley medical services.,https://www.lacc.edu/student-services/spr/health-wellness-center,official_and_authoritative_web_audit,2026-09-24
LA_CA_L,google:cid:10289272141375046777,La Paz Medical Group,"1107 S Alvarado St #102, Los Angeles, CA 90006",exclude_non_dentist_category,Exact title and linked source identify a non-dental medical or institutional listing; no exact-location dental service was found.,https://www.lapazmedical.com/,focused_title_evidence_audit,2026-09-24
LA_CA_L,google:cid:3671213163963232519,Ladera Dental,"5814 Obama Blvd, Los Angeles, CA 90016",include_dental_provider,Exact title and linked source identify a patient-facing dental provider.,https://www.danishwardentistry.com/,focused_title_evidence_audit,2026-09-24
