observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on,review_block_id,category_group_id,review_block_basis,review_domain,profiles_with_dental_title_signal,profiles_with_nondental_title_signal,profiles_with_unknown_categories,profiles_with_nonprovider_category_signal,profiles_with_existing_website,profiles_with_phone,profiles_without_website_or_phone,allowed_group_review_actions,reviewed_member_count
Plastic surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Beverly Hills Augmentation & Tuck,,,,,eligibility_review_block:18128ac84c4d359b,eligibility_group:ad9d7cea6cadeae3,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Clinic by the Bay,,,,,eligibility_review_block:1877864899329051,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,NYC_NY_L,Ahava Medical,,,,,eligibility_review_block:18fabf2d5156e18c,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Doctor,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Wong Jessica Pea MD,,,,,eligibility_review_block:19e6b0cd8bfe6908,eligibility_group:5721d7584f64bb4b,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Day spa,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Smile Time NY & Meikkos Juice Bar,,,,,eligibility_review_block:1a22ec62639a8438,eligibility_group:d074f22de8ddee98,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Torrance - Lomita Medical Center,,,,,eligibility_review_block:1a3c1099e84d43f7,eligibility_group:525c831a331b438e,singleton_profile,,0,1,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,TTW,,,,,eligibility_review_block:1b603f17744a25ad,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,0,1,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Mercy Care at Gateway Center,,,,,eligibility_review_block:1b757650ef12cc79,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Cosmetics store,needs_category_review,unknown,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,LA_CA_L,"Vivienne Lago, DDS (Lyons Dental Place)",,,,,eligibility_review_block:1d620037ca4e26f6,eligibility_group:7a28c79fb5a219d8,singleton_profile,,1,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental supply store,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,SanFrancisco_CA_L,EDT,,,,,eligibility_review_block:1e00a9758869e816,eligibility_group:73ecfba8f12eba34,singleton_profile,,0,0,1,1,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,Carroll Gardens Veterinary Group,,,,,eligibility_review_block:1ee3595ef100bf95,eligibility_group:33340ba2db18c2ad,singleton_profile,,0,1,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Mental health clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,The Wallis Annenberg Children & Family Health Center at Hollywood Wilshire Health Center,,,,,eligibility_review_block:1fce31c52bba2e6d,eligibility_group:fc496f50a73ebcfd,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Friends of Family Health Center,,,,,eligibility_review_block:1fee17e85ea9f58c,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,U Snore No More Treatment Center,,,,,eligibility_review_block:2002a0bcb3a5a556,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,focused_title_evidence,include_dental_provider,dental title signal with no configured include category,1,Macon_GA_M,Macon Oral & Maxillofacial Surgery,,,,,eligibility_review_block:20f7b5dcf0a22dee,eligibility_group:3a576676bc82902a,singleton_profile,,1,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,ROADS Community Clinic - East Long Beach,,,,,eligibility_review_block:21627077b3f38f67,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,"Mendocino Coast Clinics, Inc",,,,,eligibility_review_block:2339edbd9a7901c4,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Eureka_CA_S,Open Door Member Services Department || Redwood Community Health Center || Telehealth & Visiting Specialist Center,,,,,eligibility_review_block:2536fc2305e6878b,eligibility_group:75eedbc19c8622b7,shared_domain_within_category_group,opendoorhealth.com,0,0,0,0,3,3,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Health,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Toccoa_GA_S,Stephens County Health Department,,,,,eligibility_review_block:25a091681609301a,eligibility_group:996c37683b16ba16,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
State government office,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,North Central Health District,,,,,eligibility_review_block:2653e847e6824843,eligibility_group:35cf00a42bc08bcb,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical office,needs_category_review,unknown,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,Augusta_GA_L,Medical Associates Plus - Walton Way,,,,,eligibility_review_block:26960b4c800b2333,eligibility_group:f2764acdfe16f6b9,singleton_profile,,0,1,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Marketing agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,"Apex Dental Solutions, LLC",,,,,eligibility_review_block:26ccbac8f6aeb4f5,eligibility_group:808631f70ae4a1e8,singleton_profile,,1,0,1,1,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,St. John’s Community Health Warner Traynham Clinic,,,,,eligibility_review_block:273162d348b497fb,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Non-profit organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,100 Black Men of Los Angeles,,,,,eligibility_review_block:27d0aae5d9705545,eligibility_group:284d9dbfa1c169a1,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Artur Arkelakyan,,,,,eligibility_review_block:27d13c04ae8a79d4,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Uniform store,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Uniformland,,,,,eligibility_review_block:29bce50425de23df,eligibility_group:a11b09fd5b033ba3,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Dental supply store,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,LA_CA_L,"OJG Health Products, Inc",,,,,eligibility_review_block:29f0497a195ca13a,eligibility_group:73ecfba8f12eba34,singleton_profile,,0,0,1,1,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Hospital,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,Adventist Health Mendocino Coast,,,,,eligibility_review_block:29f38db4cdbc594d,eligibility_group:7a6fb05b52cfaa84,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,Jwch Clinic || Wesley Health Centers - Weingart Clinic,,,,,eligibility_review_block:2bb67c50689b2015,eligibility_group:504917ff371eb69d,shared_domain_within_category_group,jwchinstitute.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SaranacLake_NY_S,Adirondack Health,,,,,eligibility_review_block:2ca8d26ec4c84e03,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center|Dentist,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,2,Buffalo_NY_L,Neighborhood Health Center || Neighborhood Health Center,,,,,eligibility_review_block:2dc4f2c8f6e81f7c,eligibility_group:9e1937b2dda9c1f4,shared_domain_within_category_group,nhcwny.org,0,0,0,0,2,2,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Psychologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"Joan Demartini Warren, PSYD",,,,,eligibility_review_block:2e793ca1063b8f0e,eligibility_group:8cc3af3cb556b0b4,singleton_profile,,0,0,1,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical office,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Brookdale Family Care Center - New Lots,,,,,eligibility_review_block:2f91fa2e4ac094e8,eligibility_group:594fa1d47532a2c5,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Internist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Be Well Primary Health Care Center,,,,,eligibility_review_block:2fed6c001288880a,eligibility_group:190ff23a6596779d,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical spa,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Facial Therapy Studio,,,,,eligibility_review_block:30ec380e1ff1d19e,eligibility_group:8c88af6de3a4ac5e,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Academic department,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,NYUDentalUrgentCareCtr,,,,,eligibility_review_block:31d3e981a102c5ae,eligibility_group:02dcfcd73b831370,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
University,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"University of the Pacific, Arthur A. Dugoni School of Dentistry",,,,,eligibility_review_block:32c78f498de5b468,eligibility_group:8c78ac49852cece2,singleton_profile,,1,1,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,Macon VA Clinic,,,,,eligibility_review_block:32f079af42304ab1,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical Center,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,1,LA_CA_L,Miracle Mile Medical Group,,,,,eligibility_review_block:33943a4bd25f8e13,eligibility_group:d6a5057259cdd490,singleton_profile,,0,1,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Health Right 360,,,,,eligibility_review_block:34c398e95335045d,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,0,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Pet groomer,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,K9 Loft,,,,,eligibility_review_block:36286df988a212c2,eligibility_group:596207ce1c9c7475,singleton_profile,,0,0,1,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Medical clinic,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Whitman Ingersoll Farragut Hea,,,,,eligibility_review_block:36385981fbe9dbd7,eligibility_group:504917ff371eb69d,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
Community health center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Harlem United's The Nest Community Health Center,,,,,eligibility_review_block:375ea063c5ac25d7,eligibility_group:75eedbc19c8622b7,singleton_profile,,0,0,0,0,1,1,0,individual_review|exclude_non_dentist_category|include_dental_provider,
