domain_audit_sequence,normalized_source_domain,profile_count,review_block_count,market_count,markets,titles,observed_categories,website_urls,site_search_url,reuse_boundary
15,unitedindianhealthservices.org,2,2,1,Eureka_CA_S,Eureka Health Center- United Indian Health Services || United Indian Health Services - Downtown Eureka,Medical clinic || Public health department,http://unitedindianhealthservices.org/ || https://unitedindianhealthservices.org/,https://www.google.com/search?q=site%3Aunitedindianhealthservices.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
16,www.altamed.org,2,2,1,LA_CA_L,"AltaMed Medical and Dental Group - Pasadena, Fair Oaks || AltaMed Medical and Dental Group - South Gate",Medical clinic || Medical group,https://www.altamed.org/ || http://www.altamed.org/,https://www.google.com/search?q=site%3Awww.altamed.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
17,www.childrensaidnyc.org,2,2,1,NYC_NY_L,Children's Aid - Dunlevy Milbank Center || Children's Aid: Bronx Health Center,Non-profit organization || Medical Center,http://www.childrensaidnyc.org/programs/location/dunlevy-milbank-center || http://www.childrensaidnyc.org/health,https://www.google.com/search?q=site%3Awww.childrensaidnyc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
18,www.ecmc.edu,2,2,1,Buffalo_NY_L,ECMC Center for Dental Care - Buffalo General Medical Center || ECMC Health Campus,Medical clinic || Medical Center,https://www.ecmc.edu/health-services-and-doctors/outpatient-specialty-clinics/dental-clinic/ || http://www.ecmc.edu/,https://www.google.com/search?q=site%3Awww.ecmc.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
19,www.gradyhealth.org,2,2,1,Atlanta_GA_L,Grady Health System || Ponce De Leon Center,Hospital || STD clinic,https://www.gradyhealth.org/?utm_source=gmb&utm_medium=organic&utm_campaign=sitelink&utm_id=grady || https://www.gradyhealth.org/locations/ponce-de-leon-center/?utm_source=gmb&utm_medium=organic&utm_campaign=sitelink&utm_id=ponce,https://www.google.com/search?q=site%3Awww.gradyhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
20,www.ochbuffalo.org,2,2,1,Buffalo_NY_L,Oishei Healthy Kids || Pediatric Dental – Golisano Children’s Buffalo Outpatient Center (Conventus),Medical Center || Medical clinic,https://www.ochbuffalo.org/care-treatment/Oishei-Healthy-Kids-Health-Home || https://www.ochbuffalo.org/care-treatment/Craniofacial-Center-of-Western-New-York/,https://www.google.com/search?q=site%3Awww.ochbuffalo.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
21,www.pacific.edu,2,2,1,SanFrancisco_CA_L,"University of Pacific (UOP), San Francisco || University of the Pacific, Arthur A. Dugoni School of Dentistry",Graduate school || University,http://www.pacific.edu/San-Francisco-Campus || http://www.pacific.edu/dental,https://www.google.com/search?q=site%3Awww.pacific.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
22,aplahealth.org,2,1,1,LA_CA_L,"APLA Health Center, Long Beach || APLA Health, Gleicher/Chen Health Center, Baldwin Hills",Medical clinic,https://aplahealth.org/locations/apla-health-center-long-beach/ || https://aplahealth.org/locations/gleicher-chen-health-center-baldwin-hills/,https://www.google.com/search?q=site%3Aaplahealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
23,jwchinstitute.org,2,1,1,LA_CA_L,Jwch Clinic || Wesley Health Centers - Weingart Clinic,Medical clinic,http://jwchinstitute.org/ || https://jwchinstitute.org/,https://www.google.com/search?q=site%3Ajwchinstitute.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
24,serenitycarehealthgroup.org,2,1,1,LA_CA_L,"Serenity Care Health Group - Atlantic Adult Clinic || Serenity Care Health Group, FQHC-LAL",Community health center,https://serenitycarehealthgroup.org/atlantic-adult-clinic/?utm_source=gmb&utm_medium=organic || https://serenitycarehealthgroup.org/?utm_source=gmb&utm_medium=organic,https://www.google.com/search?q=site%3Aserenitycarehealthgroup.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
25,www.advantagecaredtc.org,2,1,1,NYC_NY_L,"Advantage Care Health Centers || Advantage Care Health Centers, Brookville, Freeport",Community health center,http://www.advantagecaredtc.org/,https://www.google.com/search?q=site%3Awww.advantagecaredtc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
26,www.evergreenhs.org,2,1,1,Buffalo_NY_L,Evergreen Health,Community health center,https://www.evergreenhs.org/ || http://www.evergreenhs.org/,https://www.google.com/search?q=site%3Awww.evergreenhs.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
27,www.mlkhealthcenter.com,2,1,1,NYC_NY_L,BronxCare - Ogden Family Medical and Dental || BronxCare Third Avenue Medical and Dental Practice,Medical clinic,https://www.mlkhealthcenter.com/locations/bronxcare-ogden-family-medical-and-dental/ || https://www.mlkhealthcenter.com/,https://www.google.com/search?q=site%3Awww.mlkhealthcenter.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
28,www.mountsinai.org,2,1,1,NYC_NY_L,Jack Martin Fund Clinic || Mount Sinai Queens-Family Health,Medical clinic,http://www.mountsinai.org/patient-care/service-areas/infectious-diseases/hiv-aids/jack-martin-fund-clinic || https://www.mountsinai.org/locations/queens/facilities/medical/family-health-associates?y_source=1_MjAxMjU1OTI0OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/search?q=site%3Awww.mountsinai.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
29,www.nytmj.com,2,1,1,NYC_NY_L,"Dr. Donald Tanenbaum || New York TMJ & Orofacial Pain (NY, NY 5th Ave)",Pain management physician,https://www.nytmj.com/?utm_source=local_directory&utm_medium=referral&utm_campaign=directory-listing || https://www.nytmj.com/?utm_source=gbp&utm_medium=organic,https://www.google.com/search?q=site%3Awww.nytmj.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
30,www.uchcbronx.org,2,1,1,NYC_NY_L,Union Community Health Center - (188th St.) || Union Community Health Center - (2021 Grand Concourse),Community health center,http://www.uchcbronx.org/,https://www.google.com/search?q=site%3Awww.uchcbronx.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
31,advancedmedicalanddental.com,1,1,1,NYC_NY_L,Advanced Medical & Dental,Medical clinic,http://advancedmedicalanddental.com/,https://www.google.com/search?q=site%3Aadvancedmedicalanddental.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
32,bibbfamilypractice.com,1,1,1,Macon_GA_M,"Bibb Family Practice Associates, PC",Medical clinic,http://bibbfamilypractice.com/,https://www.google.com/search?q=site%3Abibbfamilypractice.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
33,charlesevanscenter.org,1,1,1,NYC_NY_L,CEC Health Care - Glen Cove,Medical clinic,http://charlesevanscenter.org/,https://www.google.com/search?q=site%3Acharlesevanscenter.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
34,childrenshospitalnh.org,1,1,1,Macon_GA_M,Navicent Health,Medical clinic,http://childrenshospitalnh.org/services-centers/autism-developmental-center/,https://www.google.com/search?q=site%3Achildrenshospitalnh.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
35,coastlanddental.com,1,1,1,LA_CA_L,Artur Arkelakyan,Medical clinic,https://coastlanddental.com/about/dr-artur-arkelakyan/,https://www.google.com/search?q=site%3Acoastlanddental.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
36,comphc.org,1,1,1,LA_CA_L,Comprehensive Health Care,Home health care service,https://comphc.org/,https://www.google.com/search?q=site%3Acomphc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
37,dch.georgia.gov,1,1,1,Atlanta_GA_L,Georgia Department of Community Health,Public health department,http://dch.georgia.gov/,https://www.google.com/search?q=site%3Adch.georgia.gov+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
38,dental.nyu.edu,1,1,1,NYC_NY_L,NYUDentalUrgentCareCtr,Academic department,https://dental.nyu.edu/patientcare/emergency-services-urgent-care.html,https://www.google.com/search?q=site%3Adental.nyu.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
39,dentximaging.com,1,1,1,LA_CA_L,Dent X Imaging Center,X-ray lab,https://dentximaging.com/,https://www.google.com/search?q=site%3Adentximaging.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
40,dermatologyassociatesga.com,1,1,1,Vidalia_GA_S,Dermatology Associates,Skin care clinic,https://dermatologyassociatesga.com/,https://www.google.com/search?q=site%3Adermatologyassociatesga.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
41,ecphd.com,1,1,1,Augusta_GA_L,Richmond County Health Department,Public health department,http://ecphd.com/counties/richmond-county-health-department/,https://www.google.com/search?q=site%3Aecphd.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
42,fhcga.org,1,1,1,Atlanta_GA_L,"The Family Health Centers of Georgia, Inc.",Medical Center,http://fhcga.org/?utm_source=GMBSocialClimb&utm_medium=TheFamilyHealthCentersofGeorgia%2CInc.,https://www.google.com/search?q=site%3Afhcga.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
43,hannafacejaw.com,1,1,1,NYC_NY_L,Hanna Face and Jaw,Surgical center,https://hannafacejaw.com/,https://www.google.com/search?q=site%3Ahannafacejaw.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
44,harlemunited.org,1,1,1,NYC_NY_L,Harlem United,Community health center,http://harlemunited.org/,https://www.google.com/search?q=site%3Aharlemunited.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
45,healatlanta.org,1,1,1,Atlanta_GA_L,Healing Community Center,Community health center,https://healatlanta.org/,https://www.google.com/search?q=site%3Ahealatlanta.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
46,health.gsu.edu,1,1,1,Atlanta_GA_L,Georgia State University Student Clinic,Medical clinic,http://health.gsu.edu/,https://www.google.com/search?q=site%3Ahealth.gsu.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
47,lacasadesalud.org,1,1,1,NYC_NY_L,Ramon Velez Health Center,Medical clinic,https://lacasadesalud.org/,https://www.google.com/search?q=site%3Alacasadesalud.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
48,leedenturelaboratory.com,1,1,1,Atlanta_GA_L,Lee Denture Lab,Denture care center,http://leedenturelaboratory.com/,https://www.google.com/search?q=site%3Aleedenturelaboratory.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
49,livewellbuffalo.com,1,1,1,Buffalo_NY_L,"Buffalo Family Chiropractic Wellness, P.C.",Chiropractor,https://livewellbuffalo.com/,https://www.google.com/search?q=site%3Alivewellbuffalo.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
50,longislanddenturecenter.com,1,1,1,NYC_NY_L,Long Island Denture Center,Denture care center,https://longislanddenturecenter.com/,https://www.google.com/search?q=site%3Alongislanddenturecenter.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
51,lyon-martin.org,1,1,1,SanFrancisco_CA_L,Lyon-Martin Community Health Services,Medical clinic,http://lyon-martin.org/,https://www.google.com/search?q=site%3Alyon-martin.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
52,maconholistic.com,1,1,1,Macon_GA_M,Macon Holistic,Acupuncture clinic,http://maconholistic.com/,https://www.google.com/search?q=site%3Amaconholistic.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
53,meadowparkrehab.com,1,1,1,NYC_NY_L,Meadow Park Rehab & Healthcare,Nursing home,http://meadowparkrehab.com/,https://www.google.com/search?q=site%3Ameadowparkrehab.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
54,mendocinocoastclinics.org,1,1,1,FortBragg_CA_S,"Mendocino Coast Clinics, Inc",Medical clinic,http://mendocinocoastclinics.org/,https://www.google.com/search?q=site%3Amendocinocoastclinics.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
55,mercyatlanta.org,1,1,1,Atlanta_GA_L,Mercy Care at Gateway Center,Medical clinic,http://mercyatlanta.org/LOCATION_GATEWAY_CENTER,https://www.google.com/search?q=site%3Amercyatlanta.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
56,mirmakmin.com,1,1,1,Augusta_GA_L,Druid Park Community Health Center,Medical clinic,https://mirmakmin.com/,https://www.google.com/search?q=site%3Amirmakmin.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
57,newyorkfamilydentistry.com,1,1,1,NYC_NY_L,Dr. Lawrence Weiss,Medical clinic,https://newyorkfamilydentistry.com/about_us/doctor_weiss/,https://www.google.com/search?q=site%3Anewyorkfamilydentistry.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
58,nysleepsolutions.com,1,1,1,NYC_NY_L,New York Sleep Solutions,Sleep clinic,https://nysleepsolutions.com/,https://www.google.com/search?q=site%3Anysleepsolutions.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
59,nyulangone.org,1,1,1,NYC_NY_L,NYU Lutheran Family Health Centers Brooklyn-Chinese,Medical clinic,https://nyulangone.org/locations/seventh-avenue-family-health-center-at-nyu-langone,https://www.google.com/search?q=site%3Anyulangone.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
60,odahealth.org,1,1,1,NYC_NY_L,ODA Crown Heights,Community health center,https://odahealth.org/locations/oda-crown-heights.html,https://www.google.com/search?q=site%3Aodahealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
61,onehansonplace.nyc,1,1,1,NYC_NY_L,One Hanson Place,Condominium complex,https://onehansonplace.nyc/,https://www.google.com/search?q=site%3Aonehansonplace.nyc+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
62,pediatrics.northwell.edu,1,1,1,NYC_NY_L,Center for Hemifacial Microsomia and Ear Deformities,Pediatric ophthalmologist,https://pediatrics.northwell.edu/departments-services/center-for-hemifacial-microsomia-ear-deformities?utm_source=provider_listing&utm_medium=partner&utm_campaign=yext,https://www.google.com/search?q=site%3Apediatrics.northwell.edu+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
63,phdistrict2.org,1,1,1,Toccoa_GA_S,Stephens County Health Department,Health,https://phdistrict2.org/stephens-county-health-department/,https://www.google.com/search?q=site%3Aphdistrict2.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
64,puremakeupstore.com,1,1,1,Eureka_CA_S,Pure Makeup Studio & Med Spa,Make-up artist,http://puremakeupstore.com/,https://www.google.com/search?q=site%3Apuremakeupstore.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
65,rambamfamilyhealth.org,1,1,1,NYC_NY_L,Rambam Family Health Center,Medical clinic,https://rambamfamilyhealth.org/,https://www.google.com/search?q=site%3Arambamfamilyhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
66,refuahfamilydental.com,1,1,1,NYC_NY_L,Dr. Omid Arastehmanesh,Medical clinic,https://refuahfamilydental.com/,https://www.google.com/search?q=site%3Arefuahfamilydental.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
67,restfulsleepsolution.com,1,1,1,NYC_NY_L,Restful Sleep Solution,Sleep clinic,https://restfulsleepsolution.com/contact-us,https://www.google.com/search?q=site%3Arestfulsleepsolution.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
68,specials.zendyhealth.com,1,1,1,LA_CA_L,ZendyHealth,Medical clinic,https://specials.zendyhealth.com/hsabank/,https://www.google.com/search?q=site%3Aspecials.zendyhealth.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
69,stepanyansurgical.com,1,1,1,LA_CA_L,Stepanyan Surgical Arts Center,Plastic surgeon,https://stepanyansurgical.com/,https://www.google.com/search?q=site%3Astepanyansurgical.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
70,tccliniic.com,1,1,1,LA_CA_L,TC Clinic,Medical clinic,http://tccliniic.com/family-clinic/venice-family-clinic-locations-hrs-directions.html,https://www.google.com/search?q=site%3Atccliniic.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
71,unicarechc.org,1,1,1,LA_CA_L,Unicare Community Health Center - Los Angeles,Medical clinic,https://unicarechc.org/,https://www.google.com/search?q=site%3Aunicarechc.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
72,uniform.land,1,1,1,LA_CA_L,Uniformland,Uniform store,http://uniform.land/,https://www.google.com/search?q=site%3Auniform.land+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
73,usoncology.com,1,1,1,LA_CA_L,Vantage Oncology,Cancer treatment center,https://usoncology.com/news/vantage-oncologys-50-centers-and-more-than-350-affiliated-physicians-join-the-us-oncology-network/,https://www.google.com/search?q=site%3Ausoncology.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
74,valleycommunityhealthcare.org,1,1,1,LA_CA_L,Valley Community Healthcare,Medical clinic,https://valleycommunityhealthcare.org/,https://www.google.com/search?q=site%3Avalleycommunityhealthcare.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
75,walmarthealth.com,1,1,1,Macon_GA_M,Walmart Health Center,Medical clinic,https://walmarthealth.com/,https://www.google.com/search?q=site%3Awalmarthealth.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
76,wesleyhealthcenters.com,1,1,1,LA_CA_L,Wesley Health Clinic,Medical group,http://wesleyhealthcenters.com/,https://www.google.com/search?q=site%3Awesleyhealthcenters.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
77,whitefoord.org,1,1,1,Atlanta_GA_L,Whitefoord Health Center,Medical clinic,http://whitefoord.org/,https://www.google.com/search?q=site%3Awhitefoord.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
78,wmchealthcenter.org,1,1,1,LA_CA_L,White Memorial Community Health Center - Plaza III,Medical clinic,https://wmchealthcenter.org/contact/,https://www.google.com/search?q=site%3Awmchealthcenter.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
79,www.100bmla.net,1,1,1,LA_CA_L,100 Black Men of Los Angeles,Non-profit organization,https://www.100bmla.net/,https://www.google.com/search?q=site%3Awww.100bmla.net+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
80,www.addabbo.org,1,1,1,NYC_NY_L,"The Joseph P. Addabbo Family Health Center, Inc.",Medical Center,http://www.addabbo.org/,https://www.google.com/search?q=site%3Awww.addabbo.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
81,www.adirondackhealth.org,1,1,1,SaranacLake_NY_S,Adirondack Health,Medical clinic,http://www.adirondackhealth.org/,https://www.google.com/search?q=site%3Awww.adirondackhealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
82,www.adventisthealth.org,1,1,1,FortBragg_CA_S,Adventist Health Mendocino Coast,Hospital,https://www.adventisthealth.org/mendocino-coast/,https://www.google.com/search?q=site%3Awww.adventisthealth.org+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
83,www.aestheticdecor.com,1,1,1,LA_CA_L,Aesthetic,Furniture maker,http://www.aestheticdecor.com/,https://www.google.com/search?q=site%3Awww.aestheticdecor.com+dental+dentist+patients+locations,Domain evidence may be reused as a navigation aid only; each exact profile and address still needs a supported decision.
